INCH,BIT
0.649606,16.5 mm
0.656250,21/32
0.659449,16.75 mm
0.669291,17 mm
0.671875,43/64
0.679134,17.25 mm
0.687500,11/16
0.688976,17.5 mm
0.703125,45/64
0.708661,18 mm
0.718750,23/32
0.728346,18.5 mm
0.734375,47/64
0.748031,19 mm
0.750000,3/4
0.765625,49/64
0.767717,19.5 mm
0.781250,25/32
0.787402,20 mm
0.796875,51/64
0.807087,20.5 mm
0.812500,13/16
0.826772,21 mm
0.828125,53/64
0.843750,27/32
0.846457,21.5 mm
0.859375,55/64
0.866142,22 mm
0.875000,7/8
0.885827,22.5 mm
0.890625,57/64
0.905512,23 mm
0.906250,29/32
0.921875,59/64
0.925197,23.5 mm
0.937500,15/16
0.944882,24 mm
0.953125,61/64
0.964567,24.5 mm
0.968750,31/32
0.984252,25 mm
0.984375,63/64
